task,trial,score,n_pages,n_matched_avg,bm_position,bm_text,bm_color,bm_font,bm_border,bm_size,bm_recall,tree_bleu,visual_ssim
healthcare_clinic__glassy_pastel-001,healthcare_clinic__glassy_pastel__jrRgovR,0.6039375835243652,7.0,99.0,0.29640583969205314,0.9314596036244623,0.821331507196052,0.7803968853649977,0.9118860972470427,0.6798160823154913,0.6573493933947716,0.3706729802712733,0.4563668822034498
healthcare_clinic__glassy_pastel-001,healthcare_clinic__glassy_pastel__rZy9Jhj,0.6285042972156639,7.0,101.57142857142857,0.33685022545792753,0.9239990378090767,0.7851321618366356,0.929020247647106,0.9180827443575151,0.6946784997015673,0.704154280401976,0.38178634437226233,0.47494251458256936
healthcare_clinic__glassy_pastel-001,healthcare_clinic__glassy_pastel__xWE48i3,0.5966000918839445,7.0,97.71428571428571,0.2806596832083304,0.9217246069398023,0.7996304276542842,0.7749043315328421,0.9065805985656147,0.6545678639127058,0.6754070318535997,0.36243398392247295,0.46808758313517096
healthcare_clinic__glassy_pastel-001,healthcare_clinic__glassy_pastel__y4V7pZe,0.66846160721606,7.0,140.71428571428572,0.40387145542838504,0.9731143465958354,0.7858251762440263,0.7881243436976544,0.9359058328920942,0.7095277227113608,0.9081514432617475,0.4577455032357027,0.4924732068236121
healthcare_clinic__glassy_pastel-001,healthcare_clinic__glassy_pastel__zbS2e2R,0.6862198310504477,7.0,128.0,0.4022772933940698,0.966819777825638,0.8638655657006851,0.9435621376355494,0.9357305504065481,0.7191885489693838,0.8710716755529067,0.42911976246476097,0.49583135623076363
hotel_booking__photo_warm_display-001,hotel_booking__photo_warm_displa__EiXuFL9,0.6739290276175696,7.0,126.71428571428571,0.3840557860550141,0.9600260330256634,0.8844107138064291,0.8756802166009509,0.9961171636049689,0.6766822460330569,0.9160728329872984,0.4118260897093427,0.42475955953192035
hotel_booking__photo_warm_display-001,hotel_booking__photo_warm_displa__Jca3enz,0.5699978033976238,7.0,60.714285714285715,0.3235260791818801,0.8310683827310015,0.7971855577344186,0.7969020414853405,0.9755595645064737,0.5526982472218934,0.5969901117544547,0.31752129965290626,0.3947785374609976
hotel_booking__photo_warm_display-001,hotel_booking__photo_warm_displa__XeoxJg6,0.6675250442364226,7.0,125.71428571428571,0.425300617150548,0.9632240803554414,0.8471422545727266,0.8721787995894564,0.9927576201304867,0.6881180321536731,0.9186012917153319,0.36821845713568896,0.4357072227056254
hotel_booking__photo_warm_display-001,hotel_booking__photo_warm_displa__Z5GNaXR,0.5869825655554932,7.0,56.285714285714285,0.3428774826929053,0.8267368746788168,0.806528330381572,0.8338062898092576,0.9903786723538252,0.6267915010322836,0.5928805604249151,0.3361924297684923,0.41132326480018866
hotel_booking__photo_warm_display-001,hotel_booking__photo_warm_displa__cz5Fego,0.5859342737369219,7.0,61.42857142857143,0.2756270758552421,0.8291796065483191,0.820260945605181,0.8492569409222731,0.9885024624907054,0.5922228568439997,0.6010176997974532,0.37032955676220514,0.4050346847187757
hotel_booking__photo_warm_display-001,hotel_booking__photo_warm_displa__qKd2GoU,0.5473165824660867,7.0,56.714285714285715,0.2573269252522666,0.8534577629602943,0.7382022454730056,0.8271697748739703,0.9884531537105172,0.5714155574432123,0.5733392381101224,0.2820504839508199,0.38186996915006677
